sample_date,sample_time,sample_location,last_name,depth_m,par_water_ue_m2_s,par_air_ue_m2_s,prop_air,notes
2022-05-25,14:20,SMCM_dock,krissoff,0.01,459.1,868,0.529,
2022-05-25,14:20,SMCM_dock,krissoff,0.1,408.9,858.2,0.476,
2022-05-25,14:20,SMCM_dock,krissoff,0.2,374.2,853.5,0.438,
2022-05-25,14:20,SMCM_dock,krissoff,0.3,347.7,848.7,0.410,
2022-05-25,14:20,SMCM_dock,krissoff,0.5,287.4,842.4,0.341,
2022-05-25,14:20,SMCM_dock,krissoff,0.7,220.5,840.1,0.262,
2022-05-25,14:20,SMCM_dock,krissoff,1,175.5,836.7,0.210,
2022-05-25,14:20,SMCM_dock,krissoff,1.25,134.7,851.5,0.158,
2022-05-25,14:20,SMCM_dock,krissoff,1.5,94.78,864.8,0.110,
2022-05-25,14:20,SMCM_dock,krissoff,2,80.16,873.4,0.092,
2022-05-31,12:10,SMCM_dock,krissoff,0.01,1106,1940,0.570,
2022-05-31,12:10,SMCM_dock,krissoff,0.1,1031,1942,0.531,
2022-05-31,12:10,SMCM_dock,krissoff,0.2,952.6,1944,0.490,
2022-05-31,12:10,SMCM_dock,krissoff,0.3,855.5,1944,0.440,
2022-05-31,12:10,SMCM_dock,krissoff,0.5,760.6,1942,0.392,
2022-05-31,12:10,SMCM_dock,krissoff,0.7,691.3,1939,0.357,
2022-05-31,12:10,SMCM_dock,krissoff,1,520.2,1939,0.268,
2022-05-31,12:10,SMCM_dock,krissoff,1.25,414,1947,0.213,
2022-05-31,12:10,SMCM_dock,krissoff,1.5,362.1,1944,0.186,
2022-05-31,12:10,SMCM_dock,krissoff,2,197.2,1948,0.101,
2022-06-01,12:16,SMCM_dock,krissoff,0.01,1140,2065,0.552,
2022-06-01,12:16,SMCM_dock,krissoff,0.1,1062,2053,0.517,
2022-06-01,12:16,SMCM_dock,krissoff,0.2,943.6,2030,0.465,
2022-06-01,12:16,SMCM_dock,krissoff,0.3,970,1962,0.494,
2022-06-01,12:16,SMCM_dock,krissoff,0.5,801.4,1971,0.407,
2022-06-01,12:16,SMCM_dock,krissoff,0.7,670.8,1932,0.347,
2022-06-01,12:16,SMCM_dock,krissoff,1,561.7,1920,0.293,
2022-06-01,12:16,SMCM_dock,krissoff,1.25,543.6,1945,0.279,
2022-06-01,12:16,SMCM_dock,krissoff,1.5,464.6,1913,0.243,
2022-06-01,12:16,SMCM_dock,krissoff,2,287.2,1954,0.147,
2022-06-02,17:40,SMCM_dock,krissoff,0.01,324,456,0.711,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,0.1,272.5,452,0.603,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,0.2,238.5,437.1,0.546,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,0.3,208.4,427.7,0.487,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,0.5,161,414.4,0.389,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,0.7,144.1,401.8,0.359,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,1,108.7,393.6,0.276,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,1.25,88.56,385.7,0.230,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,1.5,69.8,365.2,0.191,overcast day
2022-06-02,17:40,SMCM_dock,krissoff,2,55.47,347.5,0.160,overcast day
