initial_date,final_date,initial_time,final_time,sample_location,bottle_id,replicate,depth,depth_m,treatment,initial_do_mg_l,final_do_mg_l,do_difference_mg_l,notes
2022-06-13,2022-06-14,12:30,12:00,SMCM_dock,23,a,surface,0.3,light,7.43,8.04,0.61,
2022-06-13,2022-06-14,12:30,12:00,SMCM_dock,312,a,surface,0.3,dark,7.43,6.85,-0.58,
2022-06-13,2022-06-14,13:15,12:20,SMCM_dock,43,a,bottom,4,light,6.38,6.15,-0.23,
2022-06-13,2022-06-14,13:15,12:20,SMCM_dock,324,a,bottom,4,dark,6.57,,,
2022-06-13,2022-06-14,13:35,12:05,SMCM_dock,35,a,middle,2,light,7.43,7.77,0.34,
2022-06-13,2022-06-14,13:35,12:05,SMCM_dock,321,a,middle,2,dark,7.41,6.98,-0.43,
2022-06-23,2022-06-24,15:55,16:20,SMCM_dock,35,a,surface,0.3,light,7.86,9.32,1.46,
2022-06-23,2022-06-24,15:55,16:20,SMCM_dock,324,a,surface,0.3,dark,7.72,7,-0.72,
2022-06-23,2022-06-24,16:10,16:20,SMCM_dock,44,a,bottom,4,light,6.93,6.38,-0.55,
2022-06-23,2022-06-24,16:10,16:20,SMCM_dock,321,a,bottom,4,dark,6.76,5.91,-0.85,
2022-06-23,2022-06-24,16:25,16:20,SMCM_dock,43,a,middle,2,light,8.64,6.97,-1.67,
2022-06-23,2022-06-24,16:25,16:20,SMCM_dock,312,a,middle,2,dark,8.47,7.7,-0.77,
2022-06-27,2022-06-28,11:20,12:20,SMCM_dock,43,a,surface,0.3,light,8.8,9.06,0.26,
2022-06-27,2022-06-28,11:20,12:20,SMCM_dock,321,a,surface,0.3,dark,8.64,7.91,-0.73,
2022-06-27,2022-06-28,11:20,12:20,SMCM_dock,35,a,bottom,4,light,7.8,8.42,0.62,
2022-06-27,2022-06-28,11:20,12:20,SMCM_dock,312,a,bottom,4,dark,7.76,7.76,0,
2022-06-27,2022-06-28,11:20,12:20,SMCM_dock,44,a,middle,2,light,8.56,7.15,-1.41,
2022-06-27,2022-06-28,11:20,12:20,SMCM_dock,324,a,middle,2,dark,8.48,6.77,-1.71,
2022-07-05,2022-07-06,14:15,14:50,SMCM_dock,44,a,surface,0.3,light,8.08,8.18,0.1,
2022-07-05,2022-07-06,14:15,14:50,SMCM_dock,324,a,surface,0.3,dark,7.96,6.72,-1.24,
2022-07-05,2022-07-06,14:15,14:50,SMCM_dock,35,a,bottom,4,light,7.82,7.96,0.14,
2022-07-05,2022-07-06,14:15,14:50,SMCM_dock,321,a,bottom,4,dark,7.84,7.23,-0.61,
2022-07-05,2022-07-06,14:15,14:50,SMCM_dock,43,a,middle,2,light,8.21,7.24,-0.97,
2022-07-05,2022-07-06,14:15,14:50,SMCM_dock,312,a,middle,2,dark,8.14,7.07,-1.07,
2022-07-06,2022-07-07,15:35,14:00,SMCM_dock,44,a,surface,0.3,light,8.49,8.37,-0.12,
2022-07-06,2022-07-07,15:35,14:00,SMCM_dock,324,a,surface,0.3,dark,8.25,7.44,-0.81,
2022-07-06,2022-07-07,15:35,14:00,SMCM_dock,35,a,bottom,2.8,light,8.42,8.19,-0.23,
2022-07-06,2022-07-07,15:35,14:00,SMCM_dock,312,a,bottom,2.8,dark,8.23,7.87,-0.36,
2022-07-06,2022-07-07,15:35,14:00,SMCM_dock,43,a,middle,1.4,light,6.43,6.32,-0.11,
2022-07-06,2022-07-07,15:35,14:00,SMCM_dock,321,a,middle,1.4,dark,6.74,6.39,-0.35,
2022-07-11,2022-07-12,12:00,12:00,SMCM_dock,44,a,surface,0.3,light,8.29,9.14,0.85,
2022-07-11,2022-07-12,12:00,12:00,SMCM_dock,324,a,surface,0.3,dark,8.15,7.46,-0.69,
2022-07-11,2022-07-12,12:00,12:00,SMCM_dock,35,a,middle,2,light,8.02,8.77,0.75,
2022-07-11,2022-07-12,12:00,12:00,SMCM_dock,312,a,middle,2,dark,7.79,7.02,-0.77,
2022-07-11,2022-07-12,12:00,12:00,SMCM_dock,43,a,bottom,4,light,7.52,7.18,-0.34,
2022-07-11,2022-07-12,12:00,12:00,SMCM_dock,321,a,bottom,4,dark,7.26,6.61,-0.65,
2022-07-12,2022-07-13,12:30,12:30,SMCM_dock,44,a,surface,0.3,light,7.81,8.2,0.39,
2022-07-12,2022-07-13,12:30,12:30,SMCM_dock,324,a,surface,0.3,dark,7.42,6.83,-0.59,
2022-07-12,2022-07-13,12:30,12:30,SMCM_dock,35,a,middle,1.95,light,7.89,8.25,0.36,
2022-07-12,2022-07-13,12:30,12:30,SMCM_dock,312,a,middle,1.95,dark,8.1,7.1,-1,
2022-07-12,2022-07-13,12:30,12:30,SMCM_dock,43,a,bottom,3.9,light,7.67,7.58,-0.09,
2022-07-12,2022-07-13,12:30,12:30,SMCM_dock,321,a,bottom,3.9,dark,7.88,6.82,-1.06,
2022-07-13,2022-07-14,12:50,11:00,SMCM_dock,44,a,surface,0.3,light,8.01,7.44,-0.57,
2022-07-13,2022-07-14,12:50,11:00,SMCM_dock,324,a,surface,0.3,dark,8.32,6.63,-1.69,
2022-07-13,2022-07-14,12:50,11:00,SMCM_dock,35,a,middle,1.9,light,7.99,8.61,0.62,
2022-07-13,2022-07-14,12:50,11:00,SMCM_dock,312,a,middle,1.9,dark,8.29,7.37,-0.92,
2022-07-13,2022-07-14,12:50,11:00,SMCM_dock,43,a,bottom,3.8,light,6.91,6.99,0.08,
