sample_date,sample_time,sample_location,secchi_depth_m,notes
2022-05-25,14:05,SMCM_dock,1.3,
2022-05-31,12:00,SMCM_dock,1.6,
2022-06-01,12:06,SMCM_dock,1.6,
2022-06-02,17:15,SMCM_dock,1.3,
2022-06-06,15:30,SMCM_dock,1.5,
2022-06-07,11:11,SMCM_dock,1.4,
2022-06-08,12:47,SMCM_dock,1.6,
2022-06-09,14:15,SMCM_dock,1.1,
2022-06-13,13:45,SMCM_dock,1.3,
2022-06-14,12:15,SMCM_dock,1.2,
2022-06-15,14:50,SMCM_dock,1.1,
2022-6-21,15:15,SMCM_dock,1.2,
2022-6-22,15:00,SMCM_dock,1.3,
2022-06-23,12:00,SMCM_dock,1,
2022-06-27,10:28,SMCM_dock,1.2,
2022-06-28,11:10,SMCM_dock,0.8,
2022-06-29,11:20,SMCM_dock,1.1,
2022-07-05,10:50,SMCM_dock,1.2,
2022-07-06,11:30,SMCM_dock,1.4,
2022-07-07,10:35,SMCM_dock,1.2,overcast and 10 kt wind
2022-07-11,10:20,SMCM_dock,1,
2022-07-12,10:30,SMCM_dock,1.2,
2022-07-13,10:40,SMCM_dock,1.3,
2022-07-14,10:30,SMCM_dock,1.3,
2022-07-18,10:20,SMCM_dock,1.2,
2022-07-19,10:20,SMCM_dock,1.4,
2022-07-20,10:40,SMCM_dock,1.2,
2022-07-21,10:30,SMCM_dock,1.3,
2022-07-25,10:15,SMCM_dock,1.3,
2022-07-26,12:00,SMCM_dock,0.1,phytoplankton bloom and overcast
2022-07-28,17:25,SMCM_dock,0.7,
2022-08-01,15:00,SMCM_dock,1.3,
2022-08-02,14:30,SMCM_dock,1.3,
2022-08-04,10:50,SMCM_dock,1.5,
2022-08-08,14:50,SMCM_dock,1.3,
2022-08-09,10:10,SMCM_dock,1.5,
2022-08-10,11:50,SMCM_dock,1.6,
2022-08-11,12:30,SMCM_dock,1.1,
2022-08-15,14:15,SMCM_dock,1.4,
2022-08-16,14:45,SMCM_dock,1.5,
2022-08-17,12:00,SMCM_dock,1.8,
2022-09-09,11:40,SMCM_dock,2,
